Fiscal Year,Organize Fetilizer,Synthetic Fertilizer,Diesel Fleet,Gasoline Fleet,Natural Gas,Distillate Oil (#1-4),Natural Gas,Residual Oil (#5-6),HCFC-22
2009,3,28,93,181,7967,106,8437,971,33
2010,3,28,85,196,7892,70,9987,531,74
2011,3,28,91,147,11891,197,7810,197,5391
2012,3,28,84,155,13631,77,7474,2,5391
2013,3,28,99,228,13610,39,9036,230,123
2014,0,28,104,200,14520,33,9940,15,74
2015,0,21,86,147,12630,33,9981,2,74
2016,0,21,73,137,13289,29.1,7746,0,0
2017,0,21,69,124,12416,20,8270,0,99
2018,6,4,79,134,12142,22,7948,404,0
2019,6,4,75,139,12811,21,8613,391,53
2020,6,4,57,126,10677,14,6930,109,0
2021,6,4,53,106,11998,5,8431,12,0
2022,0,6,65,120,12587,10,7676,93,0
2023,0,6,64,127,11568,9,7192,288,0
2024,0,6,55,99,12630,1,8646,172,-178
