Fiscal Year,Automobile,Bike,Carpool,Commuter Rail,Electric Vehicle,Light Rail,Public Bus,Telecommuting,Walk
2009,445,0,0,0,0,0,0,0,0
2010,420,0,0,0,0,0,0,0,0
2011,433,0,0,0,0,0,0,0,0
2012,433,0,0,0,0,0,0,0,0
2013,433,0,0,0,0,0,0,0,0
2014,433,0,0,0,0,0,0,0,0
2015,692,0,0,0,0,0,0,0,0
2016,655,0,0,0,0,0,0,0,0
2017,634,0,0,0,0,0,0,0,0
2018,634,0,0,0,0,0,0,0,0
2019,491,0,0,0,0,0,0,0,0
2020,396,0,0,0,0,0,0,0,0
2021,60,0,0,0,0,0,0,0,0
2022,939,0,6,0,1,0,6,0,0
2023,1167,0,23,7,4,0,2,0,0
2024,1140,0,22,7,4,0,3,0,0
